Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,,
Ranunculaceae,Hydrastis,canadensis,Goldenseal,slow,"[3, 4, 5, 6, 7]",0.3,0.3,PERENNIAL,"Broad, palmate, dark green leaves with a glossy surface",May to June,July to August,hermaphrodite,"['light', 'medium', 'heavy']",mildly acid and neutral,[],"Shade, moist soil, moderate drought","Rich shady woods[4, 43] and moist areas on woodland edges[19, 31]. Mesic, deciduous forests, often on clay soils at elevations of 50 - 1200 metres[270].","Eastern N. America - Connecticut to Minnesota, Missouri and Kansas.",(0 of 5),(3 of 5),(2 of 5),,
Ranunculaceae,Actaea,racemosa,"Black Cohosh, Black Snakeroot, Bugbane",medium,[],1.5,0.6,PERENNIAL,"Compound, palmate, with serrated edges",July to October,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Shade, drought (once established)","Moist, mixed deciduous forests, wooded slopes, ravines, creek margins, thickets, moist meadowlands, forest margins, and especially mountainous terrain from sea level to 1500 metres[270].","Eastern N. America - Massachusetts to Ontario, south to Georgia and Tennessee.",(1 of 5),(4 of 5),(1 of 5),,
Ranunculaceae,Delphinium,nudicaule,"Red Larkspur, Larkspur",medium,"[3, 4, 5, 6, 7]",0.3,0.3,PERENNIAL,"Palmate, deeply lobed, with serrated edges",June to August.,Late spring to early summer,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, prefers well-drained soil, moderate cold tolerance","Dry slopes among shrubs and in woods, below 2150 metres[71]. Moist talus and cliff faces from sea level to 2600 metres[270].","South-western N. America - California, oregon",(0 of 5),(1 of 5),(3 of 5),,
Gunneraceae,Gunnera,tinctoria,"Gunnera, Chilean gunnera",fast,"[6, 7, 8, 9]",2,3-5 feet (0.9-1.5 meters),PERENNIAL,"Large, broad, and deeply lobed, up to 3 feet (0.9 meters) in diameter",July to August.,N/A (not applicable as this plant does not produce edible fruit),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Wet soil, shade, frost tolerant",Moist soils by lakes and rivers of the Central Provinces[139].,S. America - Chile.,(1 of 5),(1 of 5),(2 of 5),,
Aizoaceae,Carpobrotus,acinaciformis,Hottentot Fig,fast,"[9, 10, 11]",to,1,evergreen,"Succulent, fleshy, linear to lanceolate, up to 20 cm long",May to July,August to September,hermaphrodite,['light'],"mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']",Sandy and rocky places near the sea[260]. Naturalized on cliffs and banks by the sea in Cornwall and S. Devon[1].,S. Africa - Cape Province. Naturalized in Britain[1].,(2 of 5),(0 of 5),(3 of 5),,
Aizoaceae,Carpobrotus,aequilaterus,Sea Fig,fast,"[10, 11]",to,2,evergreen,"Succulent, fleshy, and green to grayish-green, typically lanceolate in shape","Bright yellow to pink, daisy-like flowers that bloom in summer",N/A (as this species is primarily grown for ornamental purposes rather than for fruit),hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']",Naturalised in California where it grows along the coastal strand and in coastal sage scrub at elevations up to 100 metres[276].,"Southern N. America - California, Mexico. Australia - New South Wales, Tasmania, Victoria.",(2 of 5),(0 of 5),(3 of 5),,
Aizoaceae,Carpobrotus,deliciosus,Sweet Hottentot Fig,fast,"[9, 10, 11]",to,1,evergreen,"Succulent, fleshy, green to reddish in color","Yellow to pink, daisy-like, blooms in summer",N/A (not typically applicable for this species),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline",[],"Drought-tolerant, salt-tolerant",Not known,S. Africa - Cape Province and Riversdale districts.,(2 of 5),(0 of 5),(2 of 5),,
Aizoaceae,Carpobrotus,edulis,"Hottentot Fig,",fast,"[10, 11]",0.1,1,PERENNIAL,"Succulent, fleshy, and elongated with a glossy green color",May to July,August to September,hermaphrodite,['light'],"mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']",Sandy and rocky places by the sea[260]. Naturalized on cliffs and banks by the sea in Cornwall and S. Devon[17].,S. Africa - Cape Province. Naturalized in Britain[17].,(2 of 5),(2 of 5),(2 of 5),,
Aizoaceae,Carpobrotus,glaucescens,Pigface,fast,"[9, 10, 11]",to,2,evergreen,"Succulent, fleshy, and green to grayish-green, often with a serrated edge","Bright pink to purple, daisy-like flowers that bloom in summer","N/A (not applicable, as this species does not produce fruit in the traditional sense)",hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Grows near the sea[265].,"Australia - Queensland, New South Wales, Victoria.",(3 of 5),(2 of 5),(2 of 5),,
Aizoaceae,Carpobrotus,rossii,Karkalla,fast,"[9, 10, 11]",0.2,1,PERENNIAL,"Thick, fleshy, and succulent, with a glossy green color","Bright yellow to pink, daisy-like flowers that bloom in summer",N/A (as Karkalla is primarily valued for its foliage and flowers rather than fruit),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Coastal dunes on white or grey sands[285].,Western Australia,(0 of 5),(0 of 5),(0 of 5),,
Aizoaceae,Carpobrotus,virescens,Coastal Pigface,fast,"[10, 11]",0.5,2,PERENNIAL,"Succulent, fleshy, and green to purple in color","Bright yellow to pink, daisy-like, blooming in summer",N/A (not applicable for this plant),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Coastal limestone cliffs & dunes on white, grey or brown sands[285].",Western Australia,(0 of 5),(0 of 5),(0 of 5),,
Amaranthaceae,Amaranthus,albus,Prostrate Pigweed,fast,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.7,1-3 feet,ANNUAL,May to October,July to August,September to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought, Poor Soil, Heat",Disturbed or waste ground[43].,Southern N. America. Naturalized or casual in most of Europe[50].,(2 of 5),(0 of 5),(1 of 5),,
Amaranthaceae,Amaranthus,blitum,"Slender Amaranth,  Purple amaranth",fast,"[4, 5, 6, 7, 8]",1,1-3 feet,ANNUAL,April to October,August,September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, Poor soil, Heat","A cosmopolitan weed growing on waste ground[58, 204].",Temperate and Tropical zones.,(4 of 5),(2 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,caudatus,Love Lies Bleeding,fast,"[4, 5, 6, 7, 8]",2,0.5,ANNUAL,"Lanceolate, green to reddish in color, 5-15 cm long",July to September,August to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid, very alkaline and saline","[' well-drained soil', 'dry or  moist soil']",['drought'],A weed of cultivated ground[145].,Tropics.,(4 of 5),(1 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,cruentus,"Purple Amaranth, Red amaranth",medium,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2,1-3 feet,ANNUAL,"Broad, ovate, dark green with a slightly glossy surface",July to September,August to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant",Not known in a truly wild situation.,"Original habitat is obscure, it was probably tropical America.",(4 of 5),(2 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,hybridus,"Rough Pigweed,  Slim amaranth",fast,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2,1-3 feet,ANNUAL,"Broad, ovate, green to reddish-green",July to September.,Late summer to early fall,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought, poor soil, heat","Of uncertain origin, it grows wild in cultivated fields and waste places[43].",Tropics. Naturalized in Europe[50].,(4 of 5),(1 of 5),(1 of 5),,
Amaranthaceae,Amaranthus,hypochondriacus,"Prince's Feather, Prince-of-wales feather",fast,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1.2,0.5,ANNUAL/PERENNIAL,April to October,July to August,August to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, Heat-tolerant",A weed of wasteland and agricultural land.,Southern N. America.,(4 of 5),(3 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,palmeri,Careless Weed,fast,"[7, 8, 9, 10, 11]",0.9,1-3 feet,ANNUAL,"Lanceolate, up to 6 inches long, green to reddish in color","Small, greenish to reddish clusters (inflorescences) that appear in summer",Late summer to early fall,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"Waste places and fields at low elevations, also in interior valleys and deserts in California[71].",South-western N. America,(2 of 5),(0 of 5),(1 of 5),,
Amaranthaceae,Amaranthus,retroflexus,"Pigweed, Redroot amaranth, Wild Beet",fast,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.9,1-3 feet,ANNUAL,"Broad, ovate, green to reddish-green, up to 6 inches long",July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],A casual of cultivated land and waste places in Britain[17].,Tropical America. A casual in Britain[17].,(3 of 5),(2 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,spinosus,Spiny Amaranth,fast,"[9, 10, 11]",0.6,0.2,ANNUAL,April to October,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought, Poor Soil","Roadsides, waste places and fields in South-eastern N. America[72].",Tropical America.,(2 of 5),(3 of 5),(1 of 5),,
Amaranthaceae,Amaranthus,tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",medium,[],1,0.5,ANNUAL,April to October,June to August,July to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil', ' moist soil']",['drought'],"A widely cultivated plant, it is not known in a truly wild situation.",Tropical Asia,(3 of 5),(1 of 5),(2 of 5),,
Amaranthaceae,Amaranthus,viridis,"Calalu, Slender amaranth",fast,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5,1-3 feet,ANNUAL,April to October,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought, Poor Soil",A weed of waste ground and roadsides but the original habitat is obscure[144].,Tropical N. America? Original habitat is obscure.,(3 of 5),(2 of 5),(1 of 5),,
Chenopodiaceae,Spinacia,oleracea,Spinach,fast,"[4, 5, 6, 7, 8]",0.3,30-45 cm,ANNUAL,"Dark green, smooth or slightly crinkled, oval to triangular shape",June to September.,40-50 days after planting,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Frost-tolerant, drought-sensitive",Not known in the wild.,"The origin of this plant is uncertain, it probably arose in S.W. Asia.",(3 of 5),(2 of 5),(1 of 5),,
Chenopodiaceae,Atriplex,hortensis,"Orach, Garden orache",fast,"[5, 6, 7, 8, 9]",1.8,0.3,ANNUAL,"Alternate, broad, and lanceolate with a smooth or slightly wavy margin, often green to reddish in color.",July to August,September,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, moderately salt-tolerant, and adaptable to poor soil conditions.","Arable land, waste and disturbed ground, shingle etc[9].",Europe. An occasional garden escape in Britain[17].,(4 of 5),(2 of 5),(3 of 5),,
Chenopodiaceae,Chenopodium,giganteum,Tree Spinach,fast,"[4, 5, 6, 7, 8]",2.4,3-5 feet,ANNUAL,"Broad, arrow-shaped, green to gray-green",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, salt-tolerant, tolerant of poor soil conditions",Weed infested places[74].,E. Asia - N. India. Naturalized in S. France[50].,(3 of 5),(0 of 5),(2 of 5),,
Chenopodiaceae,Chenopodium,quinoa,"Quinoa, Goosefoot, Pigweed, Inca Wheat",fast,"[1, 2]",1.5,0.3,ANNUAL,"Broadly ovate to lanceolate, green to reddish-green, with a smooth or slightly wavy margin.",July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid, very alkaline and saline","[' well-drained soil', ' moist soil']",['drought'],"The original habitat is obscure, the plant probably arose through cultivation[139].",S. America - Western Andes.,(5 of 5),(0 of 5),(2 of 5),,
Chenopodiaceae,Beta,vulgaris,Sugar Beet,medium,"[4, 5, 6, 7, 8]",1.5,0.2,BIENNIAL,"Broad, lobed, dark green","Small, greenish-white, clustered in spikes",Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought, saline soils, frost",Not known in a truly wild situation.,A cultivated form of B. vulgaris maritima that is grown for the sugar content of its root.,(4 of 5),(2 of 5),(3 of 5),,
Amaranthaceae,Celosia,argentea,"Lagos Spinach, Common Cockscomb",fast,[],0.5,0.5,ANNUAL,"Lanceolate, green, up to 10 cm long","Dense, feathery spikes, bright red, pink, or yellow",Late summer to fall,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Open moist places to elevations of 1600 metres in Nepal[272].,Pantropics.,(4 of 5),(3 of 5),(1 of 5),,
Basellaceae,Basella,alba,"Malabar Spinach, Indian Spinach, Ceylon spinach,",fast,[],growing,2-3 feet,evergreen,"Heart-shaped, glossy green, 4-8 inches long",May to September,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil. Suitable pH: mildly acid, neutral']","Heat, humidity, partial shade",Moist places in hedges to elevations of about 500 metres in Nepal[272].,"A widely cultivated plant, its original range uncertain but was possibly Africa.",(4 of 5),(2 of 5),(2 of 5),,
Basellaceae,Ullucus,tuberosus,Olluco,medium,"[9, 10, 11]",0.3,18-24 inches (45-60 cm),PERENNIAL,"Oval to heart-shaped, green with a slightly wavy margin","Small, yellow or white, borne in clusters",90-120 days after planting,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' moist soil'],['drought'],Not known,"S. America - Peru, Bolivia.",(3 of 5),(0 of 5),(0 of 5),,
Cactaceae,Opuntia,ficus-indica,"Prickly Pear, Barbary fig",medium,"[9, 10, 11]",to,5,evergreen,"Flat, paddle-shaped, green, with spines and glochids",June to September.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry soil']",['drought'],Naturalized in the Mediterranean where it grows in dry arid and rocky places[89].,Original habitat is obscure.,(3 of 5),(2 of 5),(3 of 5),,
Caryophyllaceae,Stellaria,media,"Chickweed, Common chickweed",fast,[],0.1,0.5,ANNUAL,"Ovate to lanceolate, 1-5 cm long, with a smooth margin and a pointed tip","Small, white, star-shaped flowers with five deeply notched petals, blooming in clusters",Seeds mature in late spring to early summer,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Tolerates partial shade, drought, and poor soil conditions","Growing almost anywhere, it is a common garden weed[7, 17].","A cosmopolitan plant, found in most regions of the world, including Britain.",(3 of 5),(3 of 5),(2 of 5),,
Caryophyllaceae,Honckenya,peploides,"Sea Sandwort, Seaside sandplant",medium,"[4, 5, 6, 7, 8]",0.2,1,PERENNIAL,"Linear to lanceolate, fleshy, and succulent, typically 1-5 cm long, with a smooth margin.",May to August,July to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],By sea coasts on mobile sand and sandy shingle[17].,"Coasts of temperate and arctic regions of Eurasia, including Britain, and N. America.",(3 of 5),(0 of 5),(0 of 5),,
Caryophyllaceae,Silene,latifolia,"White Campion,  Bladder campion",medium,"[5, 6, 7, 8, 9]",0.6,12-24 inches (30-60 cm),PERENNIAL,"Lanceolate, dark green, 2-6 inches long (5-15 cm)",May to September,July to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, tolerant of poor soil conditions","Hedges, waste places and cultivated land[17].","Most of Europe, including Britain, to N. Africa and W. Asia.",(0 of 5),(0 of 5),(1 of 5),,
Caryophyllaceae,Silene,vulgaris,"Bladder Campion, Maidenstears",medium,"[5, 6, 7, 8, 9]",0.6,12-18 inches (30-45 cm),PERENNIAL,"Lanceolate, green, up to 4 inches long",June to August,July to September,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, tolerates poor soil conditions","Arable land, roadsides, grassy slopes etc, avoiding acid soils[9, 17].","Most of Europe, including Britain, to N. Africa and temperate Asia.",(2 of 5),(1 of 5),(1 of 5),,
Portulacaceae,Claytonia,perfoliata,Miner's Lettuce,medium,"[3, 4, 5, 6, 7, 8, 9]",0.2,12-18 inches,ANNUAL,"Round to oval, succulent, bright green",May to July.,Spring to early summer,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],"Drought-tolerant, shade-tolerant","Disturbed and waste ground, moist banks and slopes, often in partial shade, especially on light soils[17, 85]. Also found on rather dry sandy soils[50].",Western N. America - British Columbia to California and Mexico. Naturalized in Britain.,(4 of 5),(1 of 5),(2 of 5),,
Portulacaceae,Claytonia,sibirica,"Pink Purslane, Siberian springbeauty",medium,"[3, 4, 5, 6, 7]",to,12-18 inches (30-45 cm),evergreen,"Lanceolate, green, 2-4 inches long",April to July,June to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[' well-drained soil'],"Drought-tolerant, tolerant of poor soil conditions","Damp woods, shaded streamsides etc, especially on sandy acid soils[17, 50]. Thickets of red alder, dogwood, vine-leaf maple, moist shaded coniferous forests from sea level to 2000 metres[270].",E. Asia - Siberia. Western N. America - Alaska to California. Naturalized in Britain.,(4 of 5),(1 of 5),(3 of 5),,
Portulacaceae,Claytonia,tuberosa,Tuberous Spring Beauty,medium,"[4, 5, 6, 7, 8]",0.2,12 inches (30 cm),PERENNIAL,"Lanceolate, green, 2-6 inches long",April to July,May,hermaphrodite,"['light', 'medium']",mildly acid,[],"Drought-tolerant, tolerates partial shade",Sphagnum tundra in the Arctic[74]. Wet to moist stony tundra slopes from sea level to 1200 metres in Alaska[270].,"Northwestern N. America - Alaska, to E. Asia - Siberia.",(3 of 5),(0 of 5),(0 of 5),,
Portulacaceae,Claytonia,virginica,"Spring Beauty, Virginia springbeauty, Hammond's claytonia, Yellow Virginia springbeauty",medium,"[5, 6, 7]",0.2,0.2,PERENNIAL,"Lanceolate, green, with a smooth margin and a slightly hairy underside",March to April,May,hermaphrodite,"['light', 'medium']",mildly acid,[],"Shade, drought, and poor soil conditions","Rich woods, thickets and clearings[43]. Wetlands, seeps, moist woods, riparian hardwood forests, copses, bluffs, ravines and prairies from sea level to 1000 metres[270].","Eastern N. America - Quebec to Texas. A garden escape, locally naturalized in Britain[17].",(3 of 5),(1 of 5),(0 of 5),,
Nyctaginaceae,Abronia,fragrans,Snowball Sand Verbena,medium,"[8, 9, 10, 11]",0.6,0.8,PERENNIAL,"Lanceolate, green, and slightly hairy",June to August.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry sandy soils, scrub and grasslands at elevations of 400 - 2000 metres[60, 235, 270].","South-western N. America - South Dakota to Nebraska, Colorado, Texas and Mexico",(2 of 5),(1 of 5),(0 of 5),,
Nyctaginaceae,Abronia,latifolia,"Sand Verbena, Coastal sand verbena",medium,"[9, 10, 11]",0.1,0.5,PERENNIAL,"Lanceolate, succulent, green to gray-green",June to August.,Late summer to early fall,hermaphrodite,['light'],"mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Coastal sand dunes and sea beaches[60]. Sandy soils, coastal scrub, lees of dunes adjacent to strand from sea level to 50 metres[270].",South-western N. America - California to Vancouver Island..,(2 of 5),(0 of 5),(0 of 5),,
Nyctaginaceae,Mirabilis,multiflora,"Four O'clock Plant, Colorado four o'clock",medium,"[4, 5, 6, 7, 8, 9]",1,1-3 feet,PERENNIAL,"Lanceolate, dark green, 2-4 inches long",July to August.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, poor soil","Hillsides and mesas, often amongst rocks and shrubs[192]. Gravelly or sandy soils, pinyon-juniper woodlands, ponderosa pine forests at elevations of 300 - 2300 metres[270].",Southern N. America - Texas to Colorado and Utah.,(1 of 5),(2 of 5),(0 of 5),,
Phytolaccaceae,Phytolacca,americana,"Pokeweed, American pokeweed, Garnet, Pigeon Berry, Poke",fast,"[4, 5, 6, 7, 8]",2,1.5,PERENNIAL,"Alternate, ovate to lanceolate, 10-30 cm long, with a smooth margin and a glossy green surface.",August to September,September to November,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Tolerates poor soil conditions, drought, and partial shade; sensitive to frost.","Damp rich soils in clearings, woodland margins and roadsides[43]. Disturbed areas, pastures, clearings, thickets, woodland borders and roadsides from sea level to 1400 metres[270].",Northern and Central N. America. Occasionally naturalized in Britain[17].,(3 of 5),(3 of 5),(2 of 5),,
Polygonaceae,Bistorta,bistortoides,American Bistort,medium,"[4, 5, 6, 7, 8]",0.5,12-18 inches,PERENNIAL,"Lanceolate, dark green, up to 8 inches long",July to August.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Moisture, partial shade, cold temperatures","Moist or wet meadows and swamps, seldom below 2500 metres[43, 85].",Western N. America - Canada to California.,(3 of 5),(1 of 5),(0 of 5),,
Polygonaceae,Bistorta,vivipara,Alpine Bistort,medium,"[3, 4, 5, 6, 7]",0.3,0.3,PERENNIAL,"Lanceolate, dark green, with a slightly wavy margin",June to August.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Cold, drought, poor soil conditions",Mountain grassland and wet rocks[17].,"Arctic and northern regions of Europe, including Britain, Asia and America. On mountains in south.",(3 of 5),(1 of 5),(0 of 5),,
Polygonaceae,Fagopyrum,esculentum,Buckwheat,fast,[],1.5,0.3,ANNUAL,"Heart-shaped, broad, and serrated edges",July to September,August to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil', 'dry or  moist soil']",['drought'],Waste ground as an escape from cultivation[17]. Its original habitat is obscure.,"Probably originating in China, the plant is cultivated in many temperate areas where it sometimes escapes and is found wild.",(4 of 5),(3 of 5),(4 of 5),,
Polygonaceae,Persicaria,bistorta,"Bistort, Meadow bistort, Snakeweed",fast,"[4, 5, 6, 7]",0.5,0.5,PERENNIAL,"Lanceolate, dark green, with a smooth margin",June to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],"Moist soil, partial shade, and drought-resistant once established","Damp meadows and by water, especially on acid soils[13, 17].","Northern and central Europe, including Britain, mountains of S. Europe, western and central Asia.",(3 of 5),(3 of 5),(2 of 5),,
Polygonaceae,Polygonum,aviculare,"Knotweed,  Prostrate knotweed",medium,"[4, 5, 6, 7, 8]",0.3,30-60 cm,ANNUAL,"Lanceolate, 2-8 cm long, green with a slightly wavy margin",June to October,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],['maritime exposure'],"Waste places, roadsides, railway embankments and the coast[9]. A common garden weed[1].","Throughout Europe, including Britain, to Temperate Asia.",(2 of 5),(3 of 5),(1 of 5),,
Polygonaceae,Oxyria,digyna,"Mountain Sorrel, Alpine mountainsorrel",medium,"[2, 3, 4, 5, 6, 7, 8]",0.5,0.3,PERENNIAL,"Heart-shaped, fleshy, and often red-tinged",June to August,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Cold, drought, poor soil","Damp rocky places on mountains, especially by streams, avoiding acid soils[17]. Locally common on enriched soils below bird roosts[200].","Mountains of the northern temperate zone, including Britain.",(3 of 5),(1 of 5),(0 of 5),,
Polygonaceae,Rumex,acetosa,"Sorrel, Garden sorrel",medium,"[3, 4, 5, 6, 7]",0.6,0.3,PERENNIAL,"Arrow-shaped, green, with a tangy flavor",May to June,June to August,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],"Drought-tolerant, prefers well-drained soil","Meadows, by streams and in open places in woodland[7, 17]. Often found as a weed of acid soils[1].","Most of Europe, including Britain, temperate Asia, N. America, Greenland.",(5 of 5),(3 of 5),(4 of 5),,
Polygonaceae,Rumex,acetosella,"Sheeps Sorrel, Common sheep sorrel",fast,"[4, 5, 6, 7, 8]",0.3,1,PERENNIAL,"Arrow-shaped, deeply lobed, and green with a slightly sour taste.",May to August,July to September,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],['maritime exposure'],"Heaths and acid grasslands[17]. A weed of acid soils[17, 55].","Cetral and southeastern Europe, including Britain, as far north as Scandanavia and Iceland.",(4 of 5),(3 of 5),(1 of 5),,
Polygonaceae,Rumex,crispus,"Curled Dock, Curly dock",medium,"[4, 5, 6, 7, 8]",0.6,0.3,PERENNIAL,"Lanceolate, wavy-edged, green to reddish in color",June to October,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought, poor soil, and moderate salinity","Growing almost anywhere[5], it is found especially in grassy places, waste ground, roadsides and near sand dunes and is a serious weed of agriculture[17, 244].","Most of Europe, including Britain, to N. Africa.",(2 of 5),(3 of 5),(2 of 5),,
